n_qubits,depth,circuit_seed,mode,num_threads,trials,mean_ms,std_ms,min_ms,final_rank,trace,purity,frobenius_vs_sequential,fidelity_vs_sequential,status
6,10,42,column,1,3,116.6523333333392,10.820980833649525,101.68260000000373,25,1.0000000000000002,0.9133793194910892,0.0,1.0,ok
6,10,42,column,4,3,128.01266666663955,3.4877951032706593,124.03469999992467,25,1.0000000000000002,0.9133793194910892,0.0,1.0,ok
6,10,42,column,8,3,118.61593333333076,13.375227256436922,99.70810000004349,25,1.0000000000000002,0.9133793194910892,0.0,1.0,ok
6,10,42,batch,1,3,128.24803333338272,2.1678462081243373,125.18270000009579,25,1.0000000000000002,0.9133793194910892,0.0,1.0,ok
6,10,42,batch,4,3,113.47619999999854,17.408434712526343,91.35509999998703,25,1.0000000000000002,0.9133793194910892,0.0,1.0,ok
6,10,42,batch,8,3,121.5572333333436,13.289219085496239,102.78510000000551,25,1.0000000000000002,0.9133793194910892,0.0,1.0,ok
6,10,42,hybrid,1,3,122.83596666664683,5.22895673749379,115.4637999999295,25,1.0000000000000002,0.9133793194910892,0.0,1.0,ok
6,10,42,hybrid,4,3,111.59140000002783,12.77993401731677,99.9063000000433,25,1.0000000000000002,0.9133793194910892,0.0,1.0,ok
6,10,42,hybrid,8,3,124.20989999998255,6.833576264296414,114.94410000000244,25,1.0000000000000002,0.9133793194910892,0.0,1.0,ok
6,10,42,layer-parallel,1,3,122.57116666667874,5.159542695664228,115.38660000007894,25,1.0000000000000002,0.9133793194910892,0.0,1.0,ok
6,10,42,layer-parallel,4,3,110.60896666667001,17.77528156162718,97.39830000000893,25,1.0000000000000002,0.9133793194910892,0.0,1.0,ok
6,10,42,layer-parallel,8,3,108.60160000000481,13.056646009084819,97.83900000002177,25,1.0000000000000002,0.9133793194910892,0.0,1.0,ok
6,10,43,sequential,1,3,101.02836666662067,1.7944066100972744,98.49119999989853,25,1.0,0.9114263123174913,0.0,1.0,ok
6,10,43,row,1,3,115.88296666669369,13.96315515359244,96.17809999997462,25,1.0,0.9114263123174913,0.0,1.0,ok
6,10,43,row,4,3,135.08333333334122,2.7203302793887425,132.9931000000215,25,1.0,0.9114263123174913,0.0,1.0,ok
6,10,43,row,8,3,127.80496666668266,15.6887334329504,106.06829999994716,25,1.0,0.9114263123174913,0.0,1.0,ok
6,10,43,column,1,3,106.60736666663222,11.126053703626921,96.02889999996478,25,1.0,0.9114263123174913,0.0,1.0,ok
6,10,43,column,4,3,136.61689999999757,2.960745468020364,132.9864000000498,25,1.0,0.9114263123174913,0.0,1.0,ok
6,10,43,column,8,3,132.1093333333465,3.8533044471811633,126.72309999993558,25,1.0,0.9114263123174913,0.0,1.0,ok
6,10,43,batch,1,3,123.56513333327257,5.278679734765394,116.98019999994358,25,1.0,0.9114263123174913,0.0,1.0,ok
6,10,43,batch,4,3,134.3837333333416,7.678561051106113,123.68570000001,25,1.0,0.9114263123174913,0.0,1.0,ok
6,10,43,batch,8,3,138.586433333406,4.349323372158008,135.0547000000688,25,1.0,0.9114263123174913,0.0,1.0,ok
6,10,43,hybrid,1,3,128.55879999998857,1.4591124448023534,126.49650000003021,25,1.0,0.9114263123174913,0.0,1.0,ok
6,10,43,hybrid,4,3,126.85286666665736,15.990161442874276,107.16339999999036,25,1.0,0.9114263123174913,0.0,1.0,ok
6,10,43,hybrid,8,3,130.41383333336398,12.564937551335069,112.77640000002975,25,1.0,0.9114263123174913,0.0,1.0,ok
6,10,43,layer-parallel,1,3,124.74470000002687,5.647471703956052,117.33079999999063,25,1.0,0.9114263123174913,0.0,1.0,ok
6,10,43,layer-parallel,4,3,133.08586666668512,9.544171675320298,119.60800000008476,25,1.0,0.9114263123174913,0.0,1.0,ok
6,10,43,layer-parallel,8,3,115.42946666664496,8.65792299852676,106.18759999999838,25,1.0,0.9114263123174913,0.0,1.0,ok
6,10,44,sequential,1,3,158.58329999999418,10.711607953106965,144.53889999992953,30,1.0,0.9020455623491606,0.0,1.0,ok
6,10,44,row,1,3,160.82180000004578,7.175421710723918,150.69500000004155,30,1.0,0.9020455623491606,0.0,1.0,ok
6,10,44,row,4,3,188.79786666665646,2.3471053098891863,185.85459999997056,30,1.0,0.9020455623491606,0.0,1.0,ok
6,10,44,row,8,3,181.07386666667935,12.062721805732386,164.16770000000724,30,1.0,0.9020455623491606,0.0,1.0,ok
6,10,44,column,1,3,146.8041999999817,13.746239705685614,136.51289999995697,30,1.0,0.9020455623491606,0.0,1.0,ok
6,10,44,column,4,3,186.42806666669762,6.089828777763027,177.90899999999965,30,1.0,0.9020455623491606,0.0,1.0,ok
6,10,44,column,8,3,190.52533333338792,4.917594604678622,184.9905999999919,30,1.0,0.9020455623491606,0.0,1.0,ok
6,10,44,batch,1,3,134.2768333333879,3.3770614369571885,129.56180000003314,30,1.0,0.9020455623491606,0.0,1.0,ok
6,10,44,batch,4,3,167.28286666667222,14.634362348971377,156.3236000000643,30,1.0,0.9020455623491606,0.0,1.0,ok
6,10,44,batch,8,3,195.52330000002863,4.099472430265552,191.93940000002385,30,1.0,0.9020455623491606,0.0,1.0,ok
6,10,44,hybrid,1,3,160.78823333331607,5.275451438724285,153.38759999997365,30,1.0,0.9020455623491606,0.0,1.0,ok
6,10,44,hybrid,4,3,190.12120000002142,2.8569001767975526,186.52829999996356,30,1.0,0.9020455623491606,0.0,1.0,ok
6,10,44,hybrid,8,3,176.55726666669125,17.453528938740615,157.32339999999567,30,1.0,0.9020455623491606,0.0,1.0,ok
6,10,44,layer-parallel,1,3,156.65740000000974,11.519979088764114,140.56490000007216,30,1.0,0.9020455623491606,0.0,1.0,ok
6,10,44,layer-parallel,4,3,190.05806666666558,2.6463304686174993,187.1070999999347,30,1.0,0.9020455623491606,0.0,1.0,ok
6,10,44,layer-parallel,8,3,195.02126666664785,12.533046160827421,177.36019999995278,30,1.0,0.9020455623491606,0.0,1.0,ok
7,10,42,sequential,1,3,245.26989999996354,10.559586931634458,232.31639999994513,29,1.0000000000000004,0.8937198706717793,0.0,0.9999999999998297,ok
7,10,42,row,1,3,232.94493333336655,12.609773980887327,215.1466000000255,29,1.0000000000000004,0.8937198706717793,0.0,0.9999999999998297,ok
7,10,42,row,4,3,425.3164666666483,23.19815368374748,392.8386000000046,29,1.0000000000000004,0.8937198706717793,0.0,0.9999999999998297,ok
7,10,42,row,8,3,489.61503333331774,14.225291153766918,469.9260999999524,29,1.0000000000000004,0.8937198706717793,0.0,0.9999999999998297,ok
7,10,42,column,1,3,242.37703333339292,2.2148224012189384,240.0995000000421,29,1.0000000000000004,0.8937198706717793,0.0,0.9999999999998297,ok
7,10,42,column,4,3,442.2148666666696,1.5073546637317958,440.1136999999835,29,1.0000000000000004,0.8937198706717793,0.0,0.9999999999998297,ok
7,10,42,column,8,3,495.2323333333955,4.056351801222379,489.52390000010837,29,1.0000000000000004,0.8937198706717793,0.0,0.9999999999998297,ok
7,10,42,batch,1,3,225.0182999999879,12.548006264234088,212.55780000001323,29,1.0000000000000004,0.8937198706717793,0.0,0.9999999999998297,ok
7,10,42,batch,4,3,419.2272333333449,21.3781650228043,395.63910000003943,29,1.0000000000000004,0.8937198706717793,0.0,0.9999999999998297,ok
7,10,42,batch,8,3,488.99523333329853,7.04065820418864,480.27620000004845,29,1.0000000000000004,0.8937198706717793,0.0,0.9999999999998297,ok
7,10,42,hybrid,1,3,241.00543333334676,19.416100968364596,213.81960000007894,29,1.0000000000000004,0.8937198706717793,0.0,0.9999999999998297,ok
7,10,42,hybrid,4,3,424.3720666667059,27.378137092957544,400.8707000000413,29,1.0000000000000004,0.8937198706717793,0.0,0.9999999999998297,ok
7,10,42,hybrid,8,3,488.60593333332264,23.880439053792742,455.016999999998,29,1.0000000000000004,0.8937198706717793,0.0,0.9999999999998297,ok
7,10,42,layer-parallel,1,3,233.27736666669807,9.327969411543958,220.17909999999574,29,1.0000000000000004,0.8937198706717793,0.0,0.9999999999998297,ok
7,10,42,layer-parallel,4,3,392.4801999999848,21.692079771805364,373.67440000002716,29,1.0000000000000004,0.8937198706717793,0.0,0.9999999999998297,ok
7,10,42,layer-parallel,8,3,460.29203333334107,27.05966626754494,437.9093999999668,29,1.0000000000000004,0.8937198706717793,0.0,0.9999999999998297,ok
7,10,43,sequential,1,3,180.38203333333058,11.773965609026723,163.78659999998035,26,0.9999999999999999,0.8999072282537134,0.0,1.0,ok
7,10,43,row,1,3,167.0057999999699,11.894603544779397,154.2768999998998,26,0.9999999999999999,0.8999072282537134,0.0,1.0,ok
7,10,43,row,4,3,252.173133333334,18.542923438932643,231.68220000002293,26,0.9999999999999999,0.8999072282537134,0.0,1.0,ok
7,10,43,row,8,3,270.921699999955,10.464743456953553,262.68579999998565,26,0.9999999999999999,0.8999072282537134,0.0,1.0,ok
7,10,43,column,1,3,171.20586666662044,13.26163627069546,152.62009999992188,26,0.9999999999999999,0.8999072282537134,0.0,1.0,ok
7,10,43,column,4,3,283.1399666666812,9.733536446820668,275.4084000000603,26,0.9999999999999999,0.8999072282537134,0.0,1.0,ok
7,10,43,column,8,3,268.71999999999235,26.068179025143362,233.0878999999868,26,0.9999999999999999,0.8999072282537134,0.0,1.0,ok
7,10,43,batch,1,3,185.01386666666045,7.544341731959939,175.20200000001296,26,0.9999999999999999,0.8999072282537134,0.0,1.0,ok
7,10,43,batch,4,3,257.7651666667104,13.973567153746925,247.13260000009996,26,0.9999999999999999,0.8999072282537134,0.0,1.0,ok
7,10,43,batch,8,3,262.31383333333724,4.793934693185502,258.16759999997885,26,0.9999999999999999,0.8999072282537134,0.0,1.0,ok
7,10,43,hybrid,1,3,186.70746666665158,6.387346828644925,177.68089999992753,26,0.9999999999999999,0.8999072282537134,0.0,1.0,ok
7,10,43,hybrid,4,3,277.8636666666519,1.570614861263265,276.09039999993,26,0.9999999999999999,0.8999072282537134,0.0,1.0,ok
7,10,43,hybrid,8,3,249.6037333333637,14.196394109367354,235.1087000000689,26,0.9999999999999999,0.8999072282537134,0.0,1.0,ok
7,10,43,layer-parallel,1,3,185.68753333333157,4.419488988058945,180.57339999995747,26,0.9999999999999999,0.8999072282537134,0.0,1.0,ok
7,10,43,layer-parallel,4,3,241.45163333332675,6.9465027192162605,235.1578000000245,26,0.9999999999999999,0.8999072282537134,0.0,1.0,ok
7,10,43,layer-parallel,8,3,260.3907000000163,9.957423914197243,249.2515999999796,26,0.9999999999999999,0.8999072282537134,0.0,1.0,ok
7,10,44,sequential,1,3,181.26120000003235,15.95290110375649,159.34100000004037,25,1.0,0.8951492556822205,0.0,0.9999999999993157,ok
7,10,44,row,1,3,164.34143333337184,15.653311290224485,151.6206000000011,25,1.0,0.8951492556822205,0.0,0.9999999999993157,ok
7,10,44,row,4,3,252.2027000000359,17.868046502644457,227.55080000001726,25,1.0,0.8951492556822205,0.0,0.9999999999993157,ok
7,10,44,row,8,3,264.4663333332649,6.663317829350783,255.06749999999556,25,1.0,0.8951492556822205,0.0,0.9999999999993157,ok
7,10,44,column,1,3,180.9739666666701,11.56317433996373,164.70059999994646,25,1.0,0.8951492556822205,0.0,0.9999999999993157,ok
7,10,44,column,4,3,231.0099666666853,8.004113095307702,220.5069999999978,25,1.0,0.8951492556822205,0.0,0.9999999999993157,ok
7,10,44,column,8,3,240.27743333332788,19.029860317691575,213.84119999993345,25,1.0,0.8951492556822205,0.0,0.9999999999993157,ok
7,10,44,batch,1,3,189.96973333329,3.400632039634401,187.19609999993736,25,1.0,0.8951492556822205,0.0,0.9999999999993157,ok
7,10,44,batch,4,3,224.76303333329875,11.61671480882829,212.34499999991385,25,1.0,0.8951492556822205,0.0,0.9999999999993157,ok
7,10,44,batch,8,3,234.76036666666764,12.077162719863349,225.79309999991892,25,1.0,0.8951492556822205,0.0,0.9999999999993157,ok
7,10,44,hybrid,1,3,177.8891000000158,9.792747987504569,170.80490000000736,25,1.0,0.8951492556822205,0.0,0.9999999999993157,ok
7,10,44,hybrid,4,3,227.6580666667011,13.913086780022551,211.34190000009312,25,1.0,0.8951492556822205,0.0,0.9999999999993157,ok
7,10,44,hybrid,8,3,255.64950000000408,24.15088164124021,238.23729999992338,25,1.0,0.8951492556822205,0.0,0.9999999999993157,ok
7,10,44,layer-parallel,1,3,180.2986666666584,19.1768473114766,153.3606000000418,25,1.0,0.8951492556822205,0.0,0.9999999999993157,ok
7,10,44,layer-parallel,4,3,248.99483333331318,15.673975384329824,227.28449999999611,25,1.0,0.8951492556822205,0.0,0.9999999999993157,ok
7,10,44,layer-parallel,8,3,240.1654333333454,14.904398013140987,221.6619000000719,25,1.0,0.8951492556822205,0.0,0.9999999999993157,ok
8,10,42,sequential,1,3,493.79309999998594,25.45663987508956,457.8188999998929,36,1.0000000000000007,0.8815018060958608,0.0,0.9999999999998557,ok
8,10,42,row,1,3,477.37243333339546,28.196011539480473,446.38830000008056,36,1.0000000000000007,0.8815018060958608,0.0,0.9999999999998557,ok
8,10,42,row,4,3,562.0619333333252,23.603922025863188,534.4976999999744,36,1.0000000000000007,0.8815018060958608,0.0,0.9999999999998557,ok
8,10,42,row,8,3,855.7654666666773,35.333142763597266,817.8548000000774,36,1.0000000000000007,0.8815018060958608,0.0,0.9999999999998557,ok
