mode,n_qubits,n_threads,mean_ms,std_ms,speedup_vs_baseline,peak_memory_mb,final_rank,status
full_opt,6,16,600.0494999655833,101.06966397211335,0.7958861727640112,0.037888,37.666666666666664,ok
baseline,8,1,2454.1244999854825,618.7834507561016,0.7981568579865904,0.270336,66.0,ok
baseline,8,2,2119.924266667416,530.2218628476645,0.9239840926466584,0.270336,66.0,ok
baseline,8,4,1921.8609666762252,461.79443862836445,1.0192081185789121,0.270336,66.0,ok
baseline,8,8,2038.1056666762258,454.4963639744809,0.9610769117828555,0.270336,66.0,ok
baseline,8,16,2639.5535999909043,495.183370276018,0.7420861997358473,0.270336,66.0,ok
iterative_compression,8,1,2410.3653999821595,645.4371932888745,0.8126470368479497,0.270336,66.0,ok
iterative_compression,8,2,2045.4633666668087,571.075357593942,0.957619839072579,0.270336,66.0,ok
iterative_compression,8,4,1996.150433338092,552.4794295754191,0.9812768954195162,0.270336,66.0,ok
iterative_compression,8,8,2076.0325999969305,463.488734900914,0.9435190468681567,0.270336,66.0,ok
iterative_compression,8,16,2700.527166656684,519.8990620964765,0.7253310850567506,0.270336,66.0,ok
full_opt,8,1,2368.210566637572,644.5514936500658,0.8271123892489978,0.270336,66.0,ok
full_opt,8,2,1952.140533326504,499.1236125242025,1.003399225914598,0.270336,66.0,ok
full_opt,8,4,1986.0234333318658,544.1633982031049,0.9862805579943085,0.270336,66.0,ok
full_opt,8,8,2012.2211000028376,446.5809744942491,0.9734398968451144,0.270336,66.0,ok
full_opt,8,16,2639.5152999903075,484.8414893102001,0.7420969675847371,0.270336,66.0,ok
baseline,10,1,14955.96123333477,3515.140074732654,0.996466550526855,1.736704,106.0,ok
baseline,10,2,11175.059866684023,2353.6667251304734,1.3336049450996514,1.736704,106.0,ok
baseline,10,4,9243.192300006436,2277.726903516928,1.6123342040589255,1.736704,106.0,ok
baseline,10,8,9285.291033350708,1869.466687960734,1.6050240155602855,1.736704,106.0,ok
baseline,10,16,10538.491666666232,2278.2279924427594,1.4141601636535666,1.736704,106.0,ok
iterative_compression,10,1,14633.433899997422,3204.766287394083,1.0184291125268343,1.736704,106.0,ok
iterative_compression,10,2,10603.610633329177,2578.667787277191,1.4054755135152854,1.736704,106.0,ok
iterative_compression,10,4,9485.331633322252,2412.2912021519537,1.5711749126028847,1.736704,106.0,ok
iterative_compression,10,8,9378.109966695774,1941.8901375219837,1.5891384461175537,1.736704,106.0,ok
iterative_compression,10,16,10734.37383332445,2549.036686689424,1.3883543960178022,1.736704,106.0,ok
full_opt,10,1,14567.112133353172,2881.017219734519,1.023065859833122,1.736704,106.0,ok
full_opt,10,2,11118.642133350173,2233.8197176754306,1.3403718656698944,1.736704,106.0,ok
full_opt,10,4,9498.377700006435,2436.2262564240214,1.5690168964311,1.736704,106.0,ok
full_opt,10,8,9291.993166688675,2289.1033829514663,1.6038663430598914,1.736704,106.0,ok
full_opt,10,16,10556.776066698754,2189.514067804644,1.4117108296922387,1.736704,106.0,ok
baseline,12,1,76701.1121000008,12776.866596183638,0.8872034490359535,8.650752,132.33333333333334,ok
baseline,12,2,48971.0534333523,9126.64977856978,1.389586019272114,8.650752,132.33333333333334,ok
baseline,12,4,33892.02153335403,5479.291034545318,2.007832171741208,8.650752,132.33333333333334,ok
baseline,12,8,30388.862466653034,4350.365907084106,2.2392905056807426,8.650752,132.33333333333334,ok
baseline,12,16,32972.39059999507,3963.4410993895463,2.063832496271113,8.650752,132.33333333333334,ok
iterative_compression,12,1,77481.87443330728,14150.312011342066,0.8782633576913241,8.650752,132.33333333333334,ok
